Item/Combo Name,Category,Total Quantity,Daily Limit,Emoji,Available Dates,Description
# Common Items (High Availability)
Smartwatch + Mini Cooler,Common,100,100,âŒš,*,Combo pack with smartwatch and mini cooler
Power Bank + Neckband,Common,100,100,ğŸ”‹,*,High capacity power bank with wireless neckband
Luggage Bags,Common,100,100,ğŸ§³,*,Set of 3 premium luggage bags
Pressure Cooker,Common,100,100,ğŸ²,*,5L stainless steel pressure cooker
Free Pouch and Screen Guard,Common,100,100,ğŸ“±,*,Mobile accessories combo pack

# Rare Items (Limited Availability)
Dinner Set,Rare,10,1,ğŸ½ï¸,*,Premium 24-piece dinner set
Jio Tab,Rare,2,1,ğŸ“±,2025-10-02|2025-10-07|2025-10-14|2025-10-19|2025-10-20|2025-10-21|2025-10-22|2025-10-28,Jio Tab with 10.1 inch display
Intex Home Theatre,Rare,4,1,ğŸ”Š,*,5.1 channel home theatre system
Zebronics Home Theatre,Rare,6,1,ğŸµ,2025-09-24|2025-10-04|2025-10-19|2025-10-20|2025-10-21|2025-10-23,Premium sound system
Mi Smart Speaker,Rare,1,1,ğŸ”ˆ,2025-10-02,Voice-controlled smart speaker
Zebronics Astra BT Speaker,Rare,9,1,ğŸ§,*,Bluetooth speaker with RGB lights
Boult 60W Soundbar,Rare,6,1,ğŸ¼,2025-09-30|2025-10-02|2025-10-19|2025-10-20|2025-10-21|2025-10-22,60W soundbar with subwoofer
Gas Stove,Rare,3,1,ğŸ”¥,2025-09-23|2025-10-02|2025-10-18,3-burner stainless steel gas stove
Mixer Grinder,Rare,6,1,ğŸ¥¤,2025-09-22|2025-09-29|2025-10-01|2025-10-02|2025-10-18|2025-10-20,750W mixer grinder with 3 jars

# Ultra Rare Items (Very Limited Availability)
Smart TV 32 inches,Ultra Rare,1,1,ğŸ“º,2025-10-20,32-inch smart LED TV
Silver Coin,Ultra Rare,2,1,ğŸª™,2025-09-22|2025-10-01|2025-10-21,999 Silver commemorative coin
Refrigerator,Ultra Rare,1,1,â„ï¸,2025-10-02,190L double-door refrigerator
Washing Machine,Ultra Rare,3,1,ğŸ§º,2025-09-28|2025-10-20|2025-10-21,6.5kg fully automatic washing machine
Air Cooler,Ultra Rare,2,1,â„ï¸,2025-10-01|2025-10-21,Desert cooler with remote control
Budget Smartphone,Ultra Rare,1,1,ğŸ“±,2025-10-02,4G smartphone with 6.5-inch display
